logTimestamp,faction,planet,regionName,reason,pointValue,multiplier,source
"Feb 22, 2026 @ 21:30:14.000",Imperial,tatooine,gcw_region_tatooine_9,building up an Invasion,250,1,-233342756915162113
"Feb 22, 2026 @ 21:31:14.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 21:31:21.000",Rebel,rori,gcw_region_rori_3,a Restuss PvE mission completion,25,1,115075870573
"Feb 22, 2026 @ 21:32:34.000",Imperial,null,gcw_region_yavin4_17,winning a PvE Space Battle,500,1,184674752619
"Feb 22, 2026 @ 21:32:34.000",Imperial,null,gcw_region_yavin4_17,participating in a PvE Space Battle,750,1,184674752619
"Feb 22, 2026 @ 21:33:16.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,10,1,183787148745
"Feb 22, 2026 @ 21:33:49.000",Imperial,rori,gcw_region_rori_13,factional presence,10,1,25096396660
"Feb 22, 2026 @ 21:35:59.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,139601218162
"Feb 22, 2026 @ 21:36:06.000",Imperial,talus,gcw_region_talus_16,factional presence,10,1,161271722609
"Feb 22, 2026 @ 21:36:17.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 21:38:20.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,10,1,183787148745
"Feb 22, 2026 @ 21:39:54.000",Imperial,rori,gcw_region_rori_13,factional presence,10,1,25096396660
"Feb 22, 2026 @ 21:41:02.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,139601218162
"Feb 22, 2026 @ 21:41:21.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 21:41:47.000",Imperial,rori,gcw_region_rori_13,winning a PvE Space Battle,500,1,184670750354
"Feb 22, 2026 @ 21:41:47.000",Imperial,rori,gcw_region_rori_13,participating in a PvE Space Battle,750,1,184670750354
"Feb 22, 2026 @ 21:46:25.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 21:47:26.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,10,1,183787148745
"Feb 22, 2026 @ 21:51:29.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 21:52:30.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,10,1,183787148745
"Feb 22, 2026 @ 21:54:57.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,157933025923
"Feb 22, 2026 @ 21:56:30.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 21:58:36.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,10,1,183787148745
"Feb 22, 2026 @ 22:00:02.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,157933025923
"Feb 22, 2026 @ 22:01:32.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,6345560042
"Feb 22, 2026 @ 22:03:02.000",Rebel,dantooine,gcw_region_dantooine_13,delivering supplies (PvE),50,1,143443118617
"Feb 22, 2026 @ 22:05:35.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,89623291459
"Feb 22, 2026 @ 22:06:46.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,33138115757
"Feb 22, 2026 @ 22:09:12.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,2,0.175,184475389212
"Feb 22, 2026 @ 22:11:11.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,157933025923
"Feb 22, 2026 @ 22:11:49.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,5877447540
"Feb 22, 2026 @ 22:16:14.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,157933025923
"Feb 22, 2026 @ 22:16:49.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,33138115757
"Feb 22, 2026 @ 22:17:16.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,2,0.175,184475389212
"Feb 22, 2026 @ 22:17:26.000",Rebel,corellia,gcw_region_corellia_13,factional presence,10,1,50881805140
"Feb 22, 2026 @ 22:21:21.000",Imperial,rori,gcw_region_rori_3,factional presence,10,1,180445966979
"Feb 22, 2026 @ 22:21:51.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,33138115757
"Feb 22, 2026 @ 22:22:19.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,2,0.175,184475389212
"Feb 22, 2026 @ 22:26:54.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,33138115757
"Feb 22, 2026 @ 22:27:21.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,2,0.175,184475389212
"Feb 22, 2026 @ 22:32:01.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,115075870573
"Feb 22, 2026 @ 22:32:50.000",Rebel,rori,gcw_region_rori_12,factional presence,10,1,10935689449
"Feb 22, 2026 @ 22:37:01.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,33138115757
"Feb 22, 2026 @ 22:38:03.000",Rebel,rori,gcw_region_rori_12,factional presence,10,1,5877447540
"Feb 22, 2026 @ 22:43:03.000",Rebel,rori,gcw_region_rori_12,factional presence,10,1,5877447540
"Feb 22, 2026 @ 22:48:12.000",Rebel,rori,gcw_region_rori_12,factional presence,10,1,2130232491
"Feb 22, 2026 @ 22:51:26.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,10,1,94535149048
"Feb 22, 2026 @ 22:52:27.000",Imperial,rori,gcw_region_rori_12,factional presence,10,1,94535149048
"Feb 22, 2026 @ 22:52:50.000",Imperial,lok,gcw_region_lok_5,factional presence,10,1,179646355395
"Feb 22, 2026 @ 22:54:30.000",Rebel,rori,gcw_region_rori_12,factional presence,10,1,2889001969
"Feb 22, 2026 @ 22:55:14.000",Rebel,lok,gcw_region_lok_13,factional presence,10,1,2130232491
"Feb 22, 2026 @ 22:56:14.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,2130232491
"Feb 22, 2026 @ 22:57:52.000",Imperial,lok,gcw_region_lok_5,factional presence,10,1,179646355395
"Feb 22, 2026 @ 22:59:31.000",Rebel,rori,gcw_region_rori_12,factional presence,10,1,2889001969
"Feb 22, 2026 @ 22:59:48.000",Imperial,tatooine,gcw_region_tatooine_12,factional presence,9,0.8625,126223785581
"Feb 22, 2026 @ 23:01:17.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,5877447540
"Feb 22, 2026 @ 23:02:57.000",Imperial,lok,gcw_region_lok_5,factional presence,10,1,179646355395
"Feb 22, 2026 @ 23:04:34.000",Rebel,lok,gcw_region_lok_13,factional presence,10,1,2889001969
"Feb 22, 2026 @ 23:04:49.000",Imperial,tatooine,gcw_region_tatooine_12,factional presence,9,0.8625,126223785581
"Feb 22, 2026 @ 23:05:46.000",Imperial,lok,gcw_region_lok_5,participating in a Flashpoint,1875,1.25,-492018259764926689
"Feb 22, 2026 @ 23:05:46.000",Imperial,lok,gcw_region_lok_5,winning a Flashpoint,1000,1,-492018259764926689
"Feb 22, 2026 @ 23:06:20.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,5877447540
"Feb 22, 2026 @ 23:09:52.000",Imperial,tatooine,gcw_region_tatooine_12,factional presence,9,0.8625,126223785581
"Feb 22, 2026 @ 23:10:21.000",Imperial,tatooine,gcw_region_tatooine_9,factional presence,10,1,126557433347
"Feb 22, 2026 @ 23:11:24.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,2130232491
"Feb 22, 2026 @ 23:14:54.000",Imperial,tatooine,gcw_region_tatooine_12,factional presence,9,0.8625,126223785581
"Feb 22, 2026 @ 23:16:27.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,5877447540
"Feb 22, 2026 @ 23:21:31.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,2130232491
"Feb 22, 2026 @ 23:26:35.000",Rebel,lok,gcw_region_lok_13,factional presence,10,1,5877447540
"Feb 22, 2026 @ 23:26:51.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,2889001969
"Feb 22, 2026 @ 23:27:37.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,2130232491
"Feb 22, 2026 @ 23:30:14.000",Imperial,talus,gcw_region_talus_14,building up an Invasion,250,1,-348184546868074204
"Feb 22, 2026 @ 23:31:54.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,2889001969
"Feb 22, 2026 @ 23:32:39.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,2130232491
"Feb 22, 2026 @ 23:36:58.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,2889001969
"Feb 22, 2026 @ 23:37:44.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,2130232491
"Feb 22, 2026 @ 23:38:50.000",Imperial,rori,gcw_region_rori_8,factional presence,10,1,94535149048
"Feb 22, 2026 @ 23:39:50.000",Rebel,rori,gcw_region_rori_8,delivering supplies (PvE),100,2,8342494323
"Feb 22, 2026 @ 23:42:03.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,2889001969
"Feb 22, 2026 @ 23:43:35.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,148826449100
"Feb 22, 2026 @ 23:43:50.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,5877447540
"Feb 22, 2026 @ 23:47:07.000",Rebel,rori,gcw_region_rori_9,factional presence,10,1,2889001969
"Feb 22, 2026 @ 23:48:38.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,148826449100
"Feb 22, 2026 @ 23:49:38.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,148826449100
"Feb 22, 2026 @ 23:52:11.000",Rebel,lok,gcw_region_lok_13,factional presence,10,1,2889001969
"Feb 22, 2026 @ 23:54:12.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,2889001969
"Feb 22, 2026 @ 23:55:57.000",Rebel,tatooine,gcw_region_tatooine_11,delivering supplies (PvE),50,1,155568741646
"Feb 22, 2026 @ 23:56:01.000",Imperial,dantooine,gcw_region_dantooine_9,factional presence,10,1,94535149048
"Feb 22, 2026 @ 23:59:16.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,2889001969
"Feb 23, 2026 @ 00:01:01.000",Imperial,dantooine,gcw_region_dantooine_9,factional presence,10,1,94535149048
"Feb 23, 2026 @ 00:01:04.000",Rebel,dantooine,gcw_region_dantooine_9,factional presence,10,1,176920338517
"Feb 23, 2026 @ 00:04:19.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,2889001969
"Feb 23, 2026 @ 00:05:51.000",Rebel,dantooine,gcw_region_dantooine_9,winning a Flashpoint,1000,1,-380554168560276913
"Feb 23, 2026 @ 00:05:51.000",Rebel,dantooine,gcw_region_dantooine_9,participating in a Flashpoint,1875,1.25,-380554168560276913
"Feb 23, 2026 @ 00:06:04.000",Imperial,dantooine,gcw_region_dantooine_9,factional presence,10,1,94535149048
"Feb 23, 2026 @ 00:09:24.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,2889001969
"Feb 23, 2026 @ 00:11:31.000",Rebel,dantooine,gcw_region_dantooine_10,factional presence,10,1,150069217017
"Feb 23, 2026 @ 00:11:32.000",Imperial,dantooine,gcw_region_dantooine_9,factional presence,10,1,153999224667
"Feb 23, 2026 @ 00:11:48.000",Rebel,dantooine,gcw_region_dantooine_5,factional presence,10,1,8342494323
"Feb 23, 2026 @ 00:11:59.000",Rebel,dantooine,gcw_region_dantooine_9,factional presence,10,1,73137947470
"Feb 23, 2026 @ 00:15:56.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,115075870573
"Feb 23, 2026 @ 00:17:01.000",Rebel,dantooine,gcw_region_dantooine_9,factional presence,10,1,73137947470
"Feb 23, 2026 @ 00:18:36.000",Imperial,talus,gcw_region_talus_5,factional presence,10,1,112155160683
"Feb 23, 2026 @ 00:19:54.000",Rebel,dantooine,gcw_region_dantooine_10,factional presence,10,1,8342494323
"Feb 23, 2026 @ 00:22:29.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,2889001969
"Feb 23, 2026 @ 00:24:05.000",Rebel,dantooine,gcw_region_dantooine_5,factional presence,10,1,73137947470
"Feb 23, 2026 @ 00:26:22.000",Rebel,dantooine,gcw_region_dantooine_10,factional presence,10,1,176920338517
"Feb 23, 2026 @ 00:27:30.000",Imperial,naboo,gcw_region_naboo_6,delivering supplies (PvE),50,1,170888895205
"Feb 23, 2026 @ 00:27:40.000",Rebel,rori,gcw_region_rori_8,factional presence,10,1,150069217017
"Feb 23, 2026 @ 00:27:40.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,172986287673
"Feb 23, 2026 @ 00:28:24.000",Rebel,dantooine,gcw_region_dantooine_11,factional presence,10,1,176920338517
"Feb 23, 2026 @ 00:29:09.000",Rebel,dantooine,gcw_region_dantooine_5,factional presence,10,1,73137947470
"Feb 23, 2026 @ 00:31:04.000",Rebel,null,gcw_region_yavin4_17,factional presence,10,1,115075870573
"Feb 23, 2026 @ 00:31:42.000",Rebel,tatooine,gcw_region_tatooine_11,delivering supplies (PvE),50,1,172986287673
"Feb 23, 2026 @ 00:32:37.000",Rebel,null,gcw_region_yavin4_17,participating in a PvE Space Battle,750,1,184674752619
"Feb 23, 2026 @ 00:32:37.000",Rebel,null,gcw_region_yavin4_17,winning a PvE Space Battle,500,1,184674752619
"Feb 23, 2026 @ 00:32:45.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,172986287673
"Feb 23, 2026 @ 00:33:46.000",Rebel,corellia,gcw_region_corellia_6,factional presence,10,1,172986287673
"Feb 23, 2026 @ 00:33:57.000",Imperial,talus,gcw_region_talus_5,delivering supplies (PvE),100,2,70084810829
"Feb 23, 2026 @ 00:34:05.000",Rebel,rori,gcw_region_rori_13,factional presence,10,1,115075870573
"Feb 23, 2026 @ 00:35:17.000",Rebel,rori,gcw_region_rori_13,winning a PvE Space Battle,500,1,184670750354
"Feb 23, 2026 @ 00:35:17.000",Rebel,rori,gcw_region_rori_13,participating in a PvE Space Battle,750,1,184670750354
"Feb 23, 2026 @ 00:36:15.000",Rebel,rori,gcw_region_rori_12,factional presence,10,1,73137947470
"Feb 23, 2026 @ 00:39:08.000",Rebel,rori,gcw_region_rori_13,factional presence,10,1,115075870573
"Feb 23, 2026 @ 00:40:08.000",Rebel,talus,gcw_region_talus_16,factional presence,10,1,115075870573
"Feb 23, 2026 @ 00:41:09.000",Rebel,corellia,gcw_region_corellia_12,factional presence,10,1,115075870573
"Feb 23, 2026 @ 00:45:29.000",Rebel,dantooine,gcw_region_dantooine_1,factional presence,10,1,176920338517
"Feb 23, 2026 @ 00:45:53.000",Rebel,naboo,gcw_region_naboo_6,factional presence,10,1,172986287673
"Feb 23, 2026 @ 00:47:55.000",Rebel,naboo,gcw_region_naboo_10,factional presence,10,1,172986287673
"Feb 23, 2026 @ 00:48:14.000",Rebel,talus,gcw_region_talus_16,factional presence,10,1,115075870573
"Feb 23, 2026 @ 00:56:34.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,176920338517
"Feb 23, 2026 @ 00:56:43.000",Rebel,tatooine,gcw_region_tatooine_11,delivering supplies (PvE),50,1,135562217957
"Feb 23, 2026 @ 00:57:09.000",Rebel,tatooine,gcw_region_tatooine_11,delivering supplies (PvE),50,1,135562217957
"Feb 23, 2026 @ 01:01:39.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,176920338517
"Feb 23, 2026 @ 01:05:25.000",Rebel,corellia,gcw_region_corellia_12,factional presence,10,1,115075870573
"Feb 23, 2026 @ 01:06:39.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,176920338517
"Feb 23, 2026 @ 01:08:27.000",Rebel,talus,gcw_region_talus_16,factional presence,10,1,115075870573
"Feb 23, 2026 @ 01:13:25.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,2130232491
"Feb 23, 2026 @ 01:16:54.000",Imperial,naboo,gcw_region_naboo_1,delivering supplies (PvE),50,1,170888895205
"Feb 23, 2026 @ 01:18:27.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,2130232491
"Feb 23, 2026 @ 01:21:19.000",Rebel,rori,gcw_region_rori_13,a PvE Duty mission wave,5,1,135562217957
"Feb 23, 2026 @ 01:23:54.000",Imperial,dantooine,gcw_region_dantooine_5,factional presence,10,1,30917128523
"Feb 23, 2026 @ 01:25:20.000",Rebel,rori,gcw_region_rori_3,factional presence,10,1,174546757656
"Feb 23, 2026 @ 01:27:36.000",Rebel,corellia,gcw_region_corellia_12,factional presence,10,1,115075870573
"Feb 23, 2026 @ 01:48:03.000",Imperial,talus,gcw_region_talus_16,factional presence,10,1,161271722609
"Feb 23, 2026 @ 01:52:58.000",Imperial,dantooine,gcw_region_dantooine_5,factional presence,10,1,30917128523
"Feb 23, 2026 @ 01:53:03.000",Imperial,talus,gcw_region_talus_16,factional presence,10,1,161271722609
"Feb 23, 2026 @ 01:53:42.000",Rebel,tatooine,gcw_region_tatooine_1,factional presence,10,1,120029101433
"Feb 23, 2026 @ 01:53:58.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,10,1,30917128523
"Feb 23, 2026 @ 01:55:43.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,120029101433
"Feb 23, 2026 @ 01:58:59.000",Imperial,tatooine,gcw_region_tatooine_11,factional presence,10,1,30917128523
"Feb 23, 2026 @ 01:59:06.000",Imperial,talus,gcw_region_talus_16,factional presence,10,1,161271722609
"Feb 23, 2026 @ 02:02:13.000",Rebel,tatooine,gcw_region_tatooine_11,factional presence,10,1,166434420044
"Feb 23, 2026 @ 02:05:08.000",Rebel,tatooine,gcw_region_tatooine_11,winning a Flashpoint,1000,1,-240098155181659569
